    1 1.200	 0.232	 0.993	 0.882	 1.021	 1.060	 3.032	 2.169	 0.579	 0.521	 0.364	 0.824	 0.000	
    2 1.177	 0.961	 0.725	 1.204	 0.802	 0.977	 2.530	 2.376	 0.584	 0.503	 0.370	 0.506	 0.000	
    3 1.177	 0.961	 0.725	 1.204	 0.802	 0.977	 2.530	 2.376	 0.584	 0.503	 0.370	 0.506	 0.000	
    4 0.988	 0.716	 0.871	 0.980	 0.583	 1.167	 0.561	 1.443	 0.886	 0.402	 0.591	 0.359	 0.000	
    5 1.073	 0.448	 0.912	 0.775	 1.238	 1.163	 2.577	 1.150	 0.532	 0.515	 0.478	 0.773	 0.000	
    6 0.889	 0.842	 0.861	 0.792	 0.892	 1.185	 1.660	 2.299	 0.800	 0.328	 0.733	 0.350	 0.000	
    7 0.889	 0.842	 0.861	 0.792	 0.892	 1.185	 1.660	 2.299	 0.800	 0.328	 0.733	 0.350	 0.000	
    8 0.889	 0.842	 0.861	 0.792	 0.892	 1.185	 1.660	 2.299	 0.800	 0.328	 0.733	 0.350	 0.000	
    9 0.757	 0.408	 1.136	 0.757	 1.115	 1.211	 2.563	 3.474	 0.465	 0.755	 0.880	 0.389	 0.000	
   10 0.757	 0.408	 1.136	 0.757	 1.115	 1.211	 2.563	 3.474	 0.465	 0.755	 0.880	 0.389	 0.000	
   11 0.724	 0.665	 0.921	 0.709	 1.056	 1.085	 1.412	 2.765	 0.798	 0.481	 0.298	 0.916	 0.000	
   12 0.720	 0.670	 1.059	 0.828	 1.019	 0.864	 1.299	 0.820	 0.426	 1.015	 0.626	 0.332	 0.000	
   13 0.855	 0.355	 1.170	 0.650	 1.063	 1.083	 2.068	 3.475	 0.415	 0.724	 0.842	 0.497	 0.000	
   14 0.878	 0.359	 1.106	 0.693	 1.149	 0.848	 0.498	 1.055	 0.745	 0.674	 0.555	 0.404	 0.000	
   15 0.963	 0.600	 0.949	 0.813	 0.935	 0.926	 0.735	 1.872	 0.816	 0.601	 0.514	 0.364	 0.000	
   16 0.963	 0.600	 0.949	 0.813	 0.935	 0.926	 0.735	 1.872	 0.816	 0.601	 0.514	 0.364	 0.000	
   17 0.963	 0.600	 0.949	 0.813	 0.935	 0.926	 0.735	 1.872	 0.816	 0.601	 0.514	 0.364	 0.000	
   18 1.002	 0.706	 0.946	 1.042	 0.972	 1.051	 2.072	 2.520	 0.614	 0.724	 0.207	 0.617	 0.000	
   19 0.863	 0.813	 0.637	 0.715	 0.975	 1.048	 0.911	 1.934	 0.538	 0.626	 0.836	 0.439	 0.000	
   20 1.209	 0.654	 0.872	 1.003	 0.452	 1.034	 0.783	 0.643	 0.560	 0.702	 0.818	 0.107	 0.000	
   21 1.209	 0.654	 0.872	 1.003	 0.452	 1.034	 0.783	 0.643	 0.560	 0.702	 0.818	 0.107	 0.000	
   22 1.209	 0.654	 0.872	 1.003	 0.452	 1.034	 0.783	 0.643	 0.560	 0.702	 0.818	 0.107	 0.000	
   23 1.071	 0.573	 1.064	 0.896	 0.416	 1.016	 0.473	 1.117	 0.531	 0.688	 0.940	 0.144	 0.000	
   24 0.780	 0.822	 0.791	 0.838	 1.020	 0.926	 1.417	 0.620	 0.781	 0.597	 0.166	 0.840	 0.000	
   25 1.206	 0.398	 0.994	 0.922	 1.093	 1.165	 2.871	 0.959	 0.566	 0.393	 0.590	 0.505	 0.000	
   26 0.755	 0.650	 1.049	 0.912	 0.875	 0.854	 0.876	 1.217	 0.433	 1.030	 0.718	 0.224	 0.000	
   27 0.755	 0.650	 1.049	 0.912	 0.875	 0.854	 0.876	 1.217	 0.433	 1.030	 0.718	 0.224	 0.000	
   28 0.909	 0.859	 0.815	 0.827	 0.866	 1.110	 1.386	 3.039	 0.884	 0.321	 0.797	 0.170	 0.000	
   29 1.196	 0.727	 0.818	 0.668	 1.230	 0.942	 0.726	 2.369	 0.962	 0.350	 0.481	 0.277	 0.000	
   30 1.196	 0.727	 0.818	 0.668	 1.230	 0.942	 0.726	 2.369	 0.962	 0.350	 0.481	 0.277	 0.000	
   31 0.645	 0.528	 1.192	 0.803	 0.807	 0.892	 0.817	 1.511	 0.527	 0.957	 0.851	 0.191	 0.000	
   32 0.645	 0.528	 1.192	 0.803	 0.807	 0.892	 0.817	 1.511	 0.527	 0.957	 0.851	 0.191	 0.000	
   33 0.645	 0.528	 1.192	 0.803	 0.807	 0.892	 0.817	 1.511	 0.527	 0.957	 0.851	 0.191	 0.000	
   34 0.645	 0.528	 1.192	 0.803	 0.807	 0.892	 0.817	 1.511	 0.527	 0.957	 0.851	 0.191	 0.000	
   35 0.645	 0.528	 1.192	 0.803	 0.807	 0.892	 0.817	 1.511	 0.527	 0.957	 0.851	 0.191	 0.000	
   36 0.645	 0.528	 1.192	 0.803	 0.807	 0.892	 0.817	 1.511	 0.527	 0.957	 0.851	 0.191	 0.000	
   37 0.645	 0.528	 1.192	 0.803	 0.807	 0.892	 0.817	 1.511	 0.527	 0.957	 0.851	 0.191	 0.000	
   38 1.048	 0.535	 0.908	 0.880	 1.144	 1.102	 2.201	 3.050	 0.946	 0.225	 0.443	 0.637	 0.000	
   39 1.048	 0.535	 0.908	 0.880	 1.144	 1.102	 2.201	 3.050	 0.946	 0.225	 0.443	 0.637	 0.000	
   40 1.084	 0.253	 1.139	 0.917	 0.967	 1.247	 2.592	 3.590	 0.474	 0.632	 0.887	 0.265	 0.000	
   41 1.084	 0.253	 1.139	 0.917	 0.967	 1.247	 2.592	 3.590	 0.474	 0.632	 0.887	 0.265	 0.000	
   42 1.084	 0.253	 1.139	 0.917	 0.967	 1.247	 2.592	 3.590	 0.474	 0.632	 0.887	 0.265	 0.000	
   43 0.922	 0.994	 0.858	 1.045	 0.451	 1.131	 0.287	 2.256	 0.531	 1.028	 0.437	 0.194	 0.000	
   44 0.806	 0.689	 1.131	 0.837	 0.594	 1.191	 1.051	 2.601	 0.656	 0.574	 1.015	 0.131	 0.000	
   45 0.806	 0.689	 1.131	 0.837	 0.594	 1.191	 1.051	 2.601	 0.656	 0.574	 1.015	 0.131	 0.000	
   46 0.609	 0.584	 1.155	 0.910	 0.723	 1.080	 1.208	 2.673	 0.428	 1.054	 0.935	 0.091	 0.000	
   47 0.609	 0.584	 1.155	 0.910	 0.723	 1.080	 1.208	 2.673	 0.428	 1.054	 0.935	 0.091	 0.000	
   48 0.609	 0.584	 1.155	 0.910	 0.723	 1.080	 1.208	 2.673	 0.428	 1.054	 0.935	 0.091	 0.000	
   49 0.609	 0.584	 1.155	 0.910	 0.723	 1.080	 1.208	 2.673	 0.428	 1.054	 0.935	 0.091	 0.000	
   50 0.609	 0.584	 1.155	 0.910	 0.723	 1.080	 1.208	 2.673	 0.428	 1.054	 0.935	 0.091	 0.000	
   51 0.609	 0.584	 1.155	 0.910	 0.723	 1.080	 1.208	 2.673	 0.428	 1.054	 0.935	 0.091	 0.000	
   52 0.609	 0.584	 1.155	 0.910	 0.723	 1.080	 1.208	 2.673	 0.428	 1.054	 0.935	 0.091	 0.000	
   53 0.609	 0.584	 1.155	 0.910	 0.723	 1.080	 1.208	 2.673	 0.428	 1.054	 0.935	 0.091	 0.000	
   54 1.248	 0.217	 1.043	 0.634	 0.992	 1.181	 3.046	 4.067	 0.546	 0.598	 0.617	 0.539	 0.000	
   55 1.248	 0.217	 1.043	 0.634	 0.992	 1.181	 3.046	 4.067	 0.546	 0.598	 0.617	 0.539	 0.000	
   56 1.248	 0.217	 1.043	 0.634	 0.992	 1.181	 3.046	 4.067	 0.546	 0.598	 0.617	 0.539	 0.000	
   57 1.248	 0.217	 1.043	 0.634	 0.992	 1.181	 3.046	 4.067	 0.546	 0.598	 0.617	 0.539	 0.000	
   58 0.834	 0.822	 0.679	 0.965	 0.780	 0.949	 0.626	 1.449	 0.432	 0.834	 0.871	 0.338	 0.000	
   59 1.165	 0.541	 0.939	 0.778	 1.243	 0.991	 0.361	 1.725	 0.787	 0.582	 0.399	 0.368	 0.000	
   60 1.165	 0.541	 0.939	 0.778	 1.243	 0.991	 0.361	 1.725	 0.787	 0.582	 0.399	 0.368	 0.000	
   61 1.165	 0.541	 0.939	 0.778	 1.243	 0.991	 0.361	 1.725	 0.787	 0.582	 0.399	 0.368	 0.000	
   62 0.745	 0.618	 1.104	 0.712	 0.853	 0.703	 0.107	 0.731	 0.526	 0.705	 0.616	 0.500	 0.000	
   63 0.873	 0.640	 1.014	 0.901	 0.890	 1.105	 2.006	 2.913	 0.675	 0.457	 0.778	 0.268	 0.000	
   64 1.002	 1.190	 0.538	 0.690	 0.921	 1.279	 3.645	 2.791	 0.484	 0.644	 0.859	 0.145	 0.000	
   65 1.196	 0.379	 0.953	 1.028	 0.976	 1.083	 1.183	 1.333	 0.723	 0.601	 0.476	 0.409	 0.000	
   66 1.131	 1.070	 0.726	 1.191	 0.426	 0.858	 0.489	 3.730	 0.822	 0.433	 0.580	 0.209	 0.000	
   67 1.202	 0.108	 1.222	 0.504	 1.188	 1.129	 3.148	 3.523	 0.412	 0.772	 0.745	 0.418	 0.000	
   68 1.202	 0.108	 1.222	 0.504	 1.188	 1.129	 3.148	 3.523	 0.412	 0.772	 0.745	 0.418	 0.000	
   69 0.751	 0.544	 1.055	 1.045	 0.859	 0.956	 2.044	 4.839	 0.758	 0.463	 0.351	 0.839	 0.000	
   70 1.118	 0.566	 0.912	 0.898	 0.618	 1.047	 0.978	 0.802	 0.669	 0.568	 0.855	 0.221	 0.000	
   71 0.980	 1.014	 0.936	 0.736	 1.193	 1.243	 2.777	 1.075	 0.564	 0.647	 0.199	 0.716	 0.000	
   72 0.980	 1.014	 0.936	 0.736	 1.193	 1.243	 2.777	 1.075	 0.564	 0.647	 0.199	 0.716	 0.000	
   73 0.971	 1.030	 0.773	 0.939	 0.939	 1.046	 0.489	 1.945	 0.618	 0.547	 0.284	 0.609	 0.000	
   74 0.721	 0.992	 0.782	 0.738	 1.018	 0.932	 2.382	 2.386	 0.461	 0.554	 0.580	 0.800	 0.000	
   75 0.721	 0.992	 0.782	 0.738	 1.018	 0.932	 2.382	 2.386	 0.461	 0.554	 0.580	 0.800	 0.000	
   76 0.721	 0.992	 0.782	 0.738	 1.018	 0.932	 2.382	 2.386	 0.461	 0.554	 0.580	 0.800	 0.000	
   77 0.721	 0.992	 0.782	 0.738	 1.018	 0.932	 2.382	 2.386	 0.461	 0.554	 0.580	 0.800	 0.000	
   78 0.965	 0.820	 0.858	 0.897	 0.924	 1.028	 0.439	 0.867	 0.932	 0.544	 0.303	 0.428	 0.000	
   79 1.058	 0.463	 1.205	 0.544	 1.068	 1.067	 1.729	 1.220	 0.807	 0.793	 0.142	 0.484	 0.000	
   80 0.942	 0.347	 1.045	 0.942	 0.952	 0.904	 2.043	 0.525	 0.438	 0.813	 0.527	 0.609	 0.000	
   81 0.942	 0.347	 1.045	 0.942	 0.952	 0.904	 2.043	 0.525	 0.438	 0.813	 0.527	 0.609	 0.000	
   82 1.120	 0.680	 1.143	 0.861	 0.477	 0.970	 0.467	 0.722	 0.674	 0.426	 0.593	 0.524	 0.000	
   83 1.120	 0.680	 1.143	 0.861	 0.477	 0.970	 0.467	 0.722	 0.674	 0.426	 0.593	 0.524	 0.000	
   84 1.083	 0.843	 0.972	 0.918	 0.874	 1.083	 1.866	 4.250	 0.556	 0.754	 0.270	 0.537	 0.000	
   85 0.719	 0.805	 0.791	 0.712	 1.099	 1.006	 0.989	 1.910	 0.961	 0.470	 0.174	 0.806	 0.000	
   86 0.719	 0.805	 0.791	 0.712	 1.099	 1.006	 0.989	 1.910	 0.961	 0.470	 0.174	 0.806	 0.000	
   87 0.719	 0.805	 0.791	 0.712	 1.099	 1.006	 0.989	 1.910	 0.961	 0.470	 0.174	 0.806	 0.000	
   88 0.894	 0.730	 0.942	 0.769	 0.869	 0.938	 1.477	 1.698	 0.654	 0.617	 0.480	 0.602	 0.000	
   89 0.761	 0.384	 0.988	 0.917	 0.789	 1.112	 1.413	 2.437	 0.451	 0.742	 1.105	 0.332	 0.000	
   90 0.761	 0.384	 0.988	 0.917	 0.789	 1.112	 1.413	 2.437	 0.451	 0.742	 1.105	 0.332	 0.000	
   91 0.761	 0.384	 0.988	 0.917	 0.789	 1.112	 1.413	 2.437	 0.451	 0.742	 1.105	 0.332	 0.000	
   92 0.761	 0.384	 0.988	 0.917	 0.789	 1.112	 1.413	 2.437	 0.451	 0.742	 1.105	 0.332	 0.000	
   93 1.171	 1.046	 0.719	 1.224	 0.517	 1.024	 1.294	 3.323	 0.907	 0.481	 0.290	 0.280	 0.000	
   94 1.075	 0.659	 0.908	 1.090	 1.034	 1.207	 2.903	 2.408	 0.742	 0.613	 0.272	 0.512	 0.000	
   95 1.075	 0.659	 0.908	 1.090	 1.034	 1.207	 2.903	 2.408	 0.742	 0.613	 0.272	 0.512	 0.000	
   96 0.842	 1.064	 0.872	 1.099	 0.277	 0.948	 0.924	 2.686	 0.629	 0.644	 0.602	 0.357	 0.000	
   97 1.053	 0.800	 0.898	 1.219	 0.382	 1.159	 0.847	 0.249	 0.525	 0.495	 1.053	 0.139	 0.000	
   98 1.053	 0.800	 0.898	 1.219	 0.382	 1.159	 0.847	 0.249	 0.525	 0.495	 1.053	 0.139	 0.000	
