    1	  8250.268   8250.268
    2	  8258.587   8258.587
    3	  8258.587   8258.587
    4	  8265.352   8265.352
    5	  8266.112   8266.112
    6	  8270.615   8270.615
    7	  8270.615   8270.615
    8	  8270.615   8270.615
    9	  8273.142   8273.142
   10	  8273.142   8273.142
   11	  8275.459   8275.459
   12	  8276.356   8276.356
   13	  8277.187   8277.187
   14	  8277.805   8277.805
   15	  8278.162   8278.162
   16	  8278.162   8278.162
   17	  8278.162   8278.162
   18	  8278.958   8278.958
   19	  8279.627   8279.627
   20	  8283.473   8283.473
   21	  8283.473   8283.473
   22	  8283.473   8283.473
   23	  8283.826   8283.826
   24	  8284.260   8284.260
   25	  8285.792   8285.792
   26	  8286.909   8286.909
   27	  8286.909   8286.909
   28	  8287.433   8287.433
   29	  8287.669   8287.669
   30	  8287.669   8287.669
   31	  8289.107   8289.107
   32	  8289.107   8289.107
   33	  8289.107   8289.107
   34	  8289.107   8289.107
   35	  8289.107   8289.107
   36	  8289.107   8289.107
   37	  8289.107   8289.107
   38	  8289.479   8289.479
   39	  8289.479   8289.479
   40	  8290.592   8290.592
   41	  8290.592   8290.592
   42	  8290.592   8290.592
   43	  8292.312   8292.312
   44	  8292.973   8292.973
   45	  8292.973   8292.973
   46	  8294.500   8294.500
   47	  8294.500   8294.500
   48	  8294.500   8294.500
   49	  8294.500   8294.500
   50	  8294.500   8294.500
   51	  8294.500   8294.500
   52	  8294.500   8294.500
   53	  8294.500   8294.500
   54	  8295.834   8295.834
   55	  8295.834   8295.834
   56	  8295.834   8295.834
   57	  8295.834   8295.834
   58	  8295.910   8295.910
   59	  8296.735   8296.735
   60	  8296.735   8296.735
   61	  8296.735   8296.735
   62	  8296.829   8296.829
   63	  8297.553   8297.553
   64	  8299.100   8299.100
   65	  8299.178   8299.178
   66	  8299.546   8299.546
   67	  8300.289   8300.289
   68	  8300.289   8300.289
   69	  8300.776   8300.776
   70	  8300.844   8300.844
   71	  8301.214   8301.214
   72	  8301.214   8301.214
   73	  8301.516   8301.516
   74	  8301.814   8301.814
   75	  8301.814   8301.814
   76	  8301.814   8301.814
   77	  8301.814   8301.814
   78	  8301.947   8301.947
   79	  8301.950   8301.950
   80	  8302.207   8302.207
   81	  8302.207   8302.207
   82	  8302.632   8302.632
   83	  8302.632   8302.632
   84	  8302.644   8302.644
   85	  8302.732   8302.732
   86	  8302.732   8302.732
   87	  8302.732   8302.732
   88	  8302.868   8302.868
   89	  8303.063   8303.063
   90	  8303.063   8303.063
   91	  8303.063   8303.063
   92	  8303.063   8303.063
   93	  8303.067   8303.067
   94	  8303.342   8303.342
   95	  8303.342   8303.342
   96	  8303.610   8303.610
   97	  8303.997   8303.997
   98	  8303.997   8303.997
   99	  8303.997   8303.997
  100	  8304.150   8304.150
  101	  8304.150   8304.150
  102	  8304.150   8304.150
  103	  8304.150   8304.150
  104	  8304.150   8304.150
  105	  8304.150   8304.150
  106	  8304.175   8304.175
  107	  8304.175   8304.175
  108	  8304.175   8304.175
  109	  8304.175   8304.175
  110	  8304.175   8304.175
  111	  8304.175   8304.175
  112	  8304.175   8304.175
  113	  8304.175   8304.175
  114	  8304.175   8304.175
  115	  8304.219   8304.219
  116	  8304.390   8304.390
  117	  8304.398   8304.398
  118	  8304.398   8304.398
  119	  8304.483   8304.483
  120	  8304.483   8304.483
  121	  8304.483   8304.483
  122	  8304.483   8304.483
  123	  8304.805   8304.805
  124	  8305.055   8305.055
  125	  8305.055   8305.055
  126	  8305.181   8305.181
  127	  8305.493   8305.493
  128	  8305.555   8305.555
  129	  8305.555   8305.555
  130	  8305.555   8305.555
  131	  8305.555   8305.555
  132	  8305.555   8305.555
  133	  8305.568   8305.568
  134	  8305.616   8305.616
  135	  8305.637   8305.637
  136	  8305.705   8305.705
  137	  8305.705   8305.705
  138	  8305.891   8305.891
  139	  8305.891   8305.891
  140	  8306.209   8306.209
  141	  8306.338   8306.338
  142	  8306.591   8306.591
  143	  8306.591   8306.591
  144	  8306.591   8306.591
  145	  8307.200   8307.200
  146	  8307.200   8307.200
  147	  8307.200   8307.200
  148	  8307.598   8307.598
  149	  8307.598   8307.598
  150	  8307.750   8307.750
  151	  8307.900   8307.900
  152	  8308.222   8308.222
  153	  8308.407   8308.407
  154	  8308.407   8308.407
  155	  8308.593   8308.593
  156	  8308.593   8308.593
  157	  8308.603   8308.603
  158	  8308.942   8308.942
  159	  8308.942   8308.942
  160	  8308.942   8308.942
  161	  8308.942   8308.942
  162	  8308.942   8308.942
  163	  8309.248   8309.248
  164	  8309.248   8309.248
  165	  8309.371   8309.371
  166	  8309.371   8309.371
  167	  8309.858   8309.858
  168	  8309.858   8309.858
  169	  8309.866   8309.866
  170	  8309.866   8309.866
  171	  8309.866   8309.866
  172	  8309.910   8309.910
  173	  8309.949   8309.949
  174	  8309.949   8309.949
  175	  8309.949   8309.949
  176	  8309.949   8309.949
  177	  8310.073   8310.073
  178	  8310.113   8310.113
  179	  8310.113   8310.113
  180	  8310.113   8310.113
  181	  8310.113   8310.113
  182	  8310.131   8310.131
  183	  8310.181   8310.181
  184	  8310.755   8310.755
  185	  8310.755   8310.755
  186	  8310.755   8310.755
  187	  8311.296   8311.296
  188	  8311.296   8311.296
  189	  8311.296   8311.296
  190	  8311.296   8311.296
  191	  8311.296   8311.296
  192	  8311.296   8311.296
  193	  8311.296   8311.296
  194	  8311.624   8311.624
  195	  8311.965   8311.965
  196	  8311.965   8311.965
  197	  8311.993   8311.993
  198	  8312.025   8312.025
  199	  8312.123   8312.123
  200	  8312.641   8312.641
  201	  8312.756   8312.756
  202	  8312.756   8312.756
  203	  8312.756   8312.756
  204	  8312.756   8312.756
  205	  8312.910   8312.910
  206	  8313.098   8313.098
  207	  8313.098   8313.098
  208	  8313.098   8313.098
  209	  8313.098   8313.098
  210	  8313.185   8313.185
  211	  8313.185   8313.185
  212	  8313.185   8313.185
  213	  8313.185   8313.185
  214	  8313.254   8313.254
  215	  8313.254   8313.254
  216	  8313.601   8313.601
  217	  8313.622   8313.622
  218	  8313.622   8313.622
  219	  8313.622   8313.622
  220	  8313.657   8313.657
  221	  8313.657   8313.657
  222	  8313.657   8313.657
  223	  8313.657   8313.657
  224	  8313.660   8313.660
  225	  8313.660   8313.660
  226	  8313.660   8313.660
  227	  8313.660   8313.660
  228	  8313.660   8313.660
  229	  8313.660   8313.660
  230	  8313.797   8313.797
  231	  8313.797   8313.797
  232	  8313.797   8313.797
  233	  8313.797   8313.797
  234	  8314.053   8314.053
  235	  8314.056   8314.056
  236	  8314.056   8314.056
  237	  8314.056   8314.056
  238	  8314.056   8314.056
  239	  8314.065   8314.065
  240	  8314.241   8314.241
  241	  8314.241   8314.241
  242	  8314.241   8314.241
  243	  8314.645   8314.645
  244	  8314.645   8314.645
  245	  8314.812   8314.812
  246	  8314.822   8314.822
  247	  8314.822   8314.822
  248	  8314.836   8314.836
  249	  8314.836   8314.836
  250	  8314.836   8314.836
  251	  8314.836   8314.836
  252	  8315.300   8315.300
  253	  8315.300   8315.300
  254	  8315.300   8315.300
  255	  8315.387   8315.387
  256	  8315.534   8315.534
  257	  8315.541   8315.541
  258	  8315.558   8315.558
  259	  8315.565   8315.565
  260	  8315.627   8315.627
  261	  8315.816   8315.816
  262	  8315.828   8315.828
  263	  8315.912   8315.912
  264	  8315.912   8315.912
  265	  8315.912   8315.912
  266	  8315.957   8315.957
  267	  8316.001   8316.001
  268	  8316.002   8316.002
  269	  8316.054   8316.054
  270	  8316.054   8316.054
  271	  8316.054   8316.054
  272	  8316.306   8316.306
  273	  8316.425   8316.425
  274	  8316.425   8316.425
  275	  8316.483   8316.483
  276	  8316.483   8316.483
  277	  8316.515   8316.515
  278	  8316.555   8316.555
  279	  8316.555   8316.555
  280	  8316.605   8316.605
  281	  8316.658   8316.658
  282	  8316.707   8316.707
  283	  8316.730   8316.730
  284	  8316.730   8316.730
  285	  8316.809   8316.809
  286	  8316.813   8316.813
  287	  8316.813   8316.813
  288	  8316.819   8316.819
  289	  8316.819   8316.819
  290	  8316.819   8316.819
  291	  8316.819   8316.819
  292	  8316.819   8316.819
  293	  8316.850   8316.850
  294	  8316.850   8316.850
  295	  8316.850   8316.850
  296	  8316.850   8316.850
  297	  8316.850   8316.850
  298	  8316.850   8316.850
  299	  8316.916   8316.916
  300	  8316.916   8316.916
  301	  8317.021   8317.021
  302	  8317.021   8317.021
  303	  8317.078   8317.078
  304	  8317.174   8317.174
  305	  8317.174   8317.174
  306	  8317.174   8317.174
  307	  8317.174   8317.174
  308	  8317.178   8317.178
  309	  8317.187   8317.187
  310	  8317.187   8317.187
  311	  8317.187   8317.187
  312	  8317.187   8317.187
  313	  8317.187   8317.187
  314	  8317.187   8317.187
  315	  8317.187   8317.187
  316	  8317.203   8317.203
  317	  8317.203   8317.203
  318	  8317.282   8317.282
  319	  8317.321   8317.321
  320	  8317.377   8317.377
  321	  8317.385   8317.385
  322	  8317.385   8317.385
  323	  8317.402   8317.402
  324	  8317.420   8317.420
  325	  8317.420   8317.420
  326	  8317.495   8317.495
  327	  8317.719   8317.719
  328	  8317.719   8317.719
  329	  8317.719   8317.719
  330	  8317.719   8317.719
  331	  8317.748   8317.748
  332	  8317.748   8317.748
  333	  8317.748   8317.748
  334	  8317.790   8317.790
  335	  8317.790   8317.790
  336	  8317.842   8317.842
  337	  8317.890   8317.890
  338	  8317.890   8317.890
  339	  8317.928   8317.928
  340	  8317.928   8317.928
  341	  8317.977   8317.977
  342	  8318.055   8318.055
  343	  8318.109   8318.109
  344	  8318.126   8318.126
  345	  8318.126   8318.126
  346	  8318.126   8318.126
  347	  8318.126   8318.126
  348	  8318.126   8318.126
  349	  8318.126   8318.126
  350	  8318.126   8318.126
  351	  8318.158   8318.158
  352	  8318.166   8318.166
  353	  8318.268   8318.268
  354	  8318.268   8318.268
  355	  8318.301   8318.301
  356	  8318.301   8318.301
  357	  8318.313   8318.313
  358	  8318.323   8318.323
  359	  8318.332   8318.332
  360	  8318.332   8318.332
  361	  8318.410   8318.410
  362	  8318.463   8318.463
  363	  8318.463   8318.463
  364	  8318.463   8318.463
  365	  8318.480   8318.480
  366	  8318.504   8318.504
  367	  8318.600   8318.600
  368	  8318.600   8318.600
  369	  8318.667   8318.667
  370	  8318.667   8318.667
  371	  8318.734   8318.734
  372	  8318.837   8318.837
  373	  8318.837   8318.837
  374	  8318.837   8318.837
  375	  8318.837   8318.837
  376	  8318.837   8318.837
  377	  8318.837   8318.837
  378	  8318.837   8318.837
  379	  8318.837   8318.837
  380	  8318.837   8318.837
  381	  8318.850   8318.850
  382	  8318.850   8318.850
  383	  8318.850   8318.850
  384	  8318.850   8318.850
  385	  8318.850   8318.850
  386	  8318.850   8318.850
  387	  8318.850   8318.850
  388	  8318.850   8318.850
  389	  8318.862   8318.862
  390	  8318.862   8318.862
  391	  8318.915   8318.915
  392	  8318.915   8318.915
  393	  8318.915   8318.915
  394	  8318.915   8318.915
  395	  8318.915   8318.915
  396	  8318.988   8318.988
  397	  8319.063   8319.063
  398	  8319.079   8319.079
  399	  8319.079   8319.079
  400	  8319.079   8319.079
  401	  8319.114   8319.114
  402	  8319.114   8319.114
  403	  8319.116   8319.116
  404	  8319.175   8319.175
  405	  8319.175   8319.175
  406	  8319.220   8319.220
  407	  8319.231   8319.231
  408	  8319.231   8319.231
  409	  8319.231   8319.231
  410	  8319.286   8319.286
  411	  8319.291   8319.291
  412	  8319.293   8319.293
  413	  8319.328   8319.328
  414	  8319.412   8319.412
  415	  8319.477   8319.477
